Name,Phone,Website,TonsOfInfo,Locality,Categories,Links,Badges,Amenities
Blacksburg Plumbing Heating & Electrical Inc.,(540) 418-3345,http://www.blacksburgplumbing.com,"in Business,Accredited,Business,(540) 418-3345,605 Center Street,Blacksburg, VA 24060,CLOSED NOW","Blacksburg, VA 24060",,,,
Bell Electric Of Blacksburg Inc,(540) 934-0001,http://www.bellelectric.com,"in Business,(540) 934-0001,1711 N Main St,Blacksburg, VA 24060,CLOSED NOW","Blacksburg, VA 24060",,,,
Virginia Tech Electric Service,(540) 231-6437,https://vtes.vt.edu,"(540) 231-6437,601 Energy Dr,Blacksburg, VA 24061","Blacksburg, VA 24061",,,,
Lawrence Electric LLC,(540) 230-8083,http://lawrenceelectricllc.com,"in Business,Accredited,Business,(540) 230-8083,1101 Redbud Rd,Blacksburg, VA 24060,CLOSED NOW","Blacksburg, VA 24060",,,,
Electric Jet,(540) 552-0824,,"(540) 552-0824,2903 Commerce St Ste D,Blacksburg, VA 24060","Blacksburg, VA 24060",,,,
"Amburgey Electric, LLC.",(540) 818-1923,,"in Business,(540) 818-1923,409 Adams Marke Dr,Blacksburg, VA 24060","Blacksburg, VA 24060",,,,
Chips Electric Service,(540) 552-6876,,"in Business,Accredited,Business,(540) 552-6876,4947 Norris Run Rd,Blacksburg, VA 24060","Blacksburg, VA 24060",,,,
Carter Eddie Electrical - CLOSED,,,"4256 Mcdowell Ct,Blacksburg, VA 24060","Blacksburg, VA 24060",,,,
"Tony Houff Electrical Contractor, Inc",(540) 299-7294,/listings/1002180178586/directions,"in Business,Accredited,Business,(540) 299-7294,894 Radford St,Christiansburg, VA 24073,CLOSED NOW","Christiansburg, VA 24073",,,,
City Electric Supply Christiansburg VA,(540) 385-7255,http://www.cityelectricsupply.com/branch/1022,"in Business,(540) 385-7255,3195 N Franklin St,Christiansburg, VA 24073,CLOSED NOW","Christiansburg, VA 24073",,,,
Alvis Electric,(540) 382-9351,http://alviselectric.com,"in Business,Accredited,Business,(540) 382-9351,115 Industrial Dr,Christiansburg, VA 24073,CLOSED NOW","Christiansburg, VA 24073",,,,
"All Service Electric, Inc.",(540) 382-4850,,"in Business,(540) 382-4850,520 Depot St NE Ste C,Christiansburg, VA 24073,CLOSED NOW","Christiansburg, VA 24073",,,,
Moores Electrical & Mechanical,(540) 381-3388,http://mooreselectric.com,"(540) 381-3388,300 Industrial Dr,Christiansburg, VA 24073","Christiansburg, VA 24073",,,,
Electrical Supply Inc,(540) 382-6179,https://electricalsupplynrv.net,"in Business,Accredited,Business,(540) 382-6179,594 Depot St NE,Christiansburg, VA 24073,CLOSED NOW","Christiansburg, VA 24073",,,,
Scott Electric,(540) 626-6010,,"(540) 626-6010,Newport, VA 24128","Newport, VA 24128",,,,
"Electric Works, Inc.",(540) 381-2917,https://electricworks24073.wixsite.com/electricworksinc,"in Business,Accredited,Business,(540) 381-2917,593 Smith Creek Rd,Christiansburg, VA 24073,CLOSED NOW","Christiansburg, VA 24073",,,,
Sundown Electric Inc,(540) 268-5328,https://www.sundownelectric.net/contact,"in Business,Accredited,Business,(540) 268-5328,7044 Roanoke Rd,Shawsville, VA 24162","Shawsville, VA 24162",,,,
Kenley Electric Inc,(540) 639-5638,http://kenleyelectric.com,"in Business,Accredited,Business,(540) 639-5638,2531 Fire Tower Rd,Christiansburg, VA 24073,CLOSED NOW","Christiansburg, VA 24073",,,,
Sundown Electric Inc,(540) 268-5328,http://www.sundownelectric.net,"in Business,(540) 268-5328,360 Brake Rd,Elliston, VA 24087,CLOSED NOW","Elliston, VA 24087",,,,
Curt's Electrical,(540) 599-5674,,"(540) 599-5674,1211 Eggleston Rd,Pembroke, VA 24136,CLOSED NOW","Pembroke, VA 24136",,,,
M & M Electrical,(540) 544-7142,,"in Business,Accredited,Business,(540) 544-7142,1295 Spruce Run Rd,Newport, VA 24128","Newport, VA 24128",,,,
Chris Sellors Electric,(540) 392-8925,http://www.christiansburgelectrician.com,"(540) 392-8925,3542 Persimmon Rd,Shawsville, VA 24162,CLOSED NOW","Shawsville, VA 24162",,,,
"Greg Williams Electric, Inc.",(540) 626-3089,,"in Business,Accredited,Business,(540) 626-3089,6534 Virginia Ave,Pembroke, VA 24136","Pembroke, VA 24136",,,,
Houchins Electric,(540) 380-3478,,"(540) 380-3478,4902 Glenvar Heights Blvd,Salem, VA 24153","Salem, VA 24153",,,,
Buffalo Electric,(540) 651-6220,,"in Business,Accredited,Business,(540) 651-6220,2561 Stonewall Rd NE,Pilot, VA 24138,CLOSED NOW","Pilot, VA 24138",,,,
Cline Electrical Service,(540) 380-3886,https://www.callclineelectrical.com/blog/need-to-know-about-wireless-under-cabinet-lighting,"in Business,Accredited,Business,(540) 380-3886,106 Butt Hollow Rd,Salem, VA 24153,CLOSED NOW","Salem, VA 24153",,,,
Mahoy Electric Service Company Inc,(540) 387-1129,,"(540) 387-1129,2144 Salem Industrial Dr,Salem, VA 24153","Salem, VA 24153",,,,
Childers Electric,(540) 864-6081,,"in Business,(540) 864-6081,8642 Johns Creek Rd,New Castle, VA 24127,CLOSED NOW","New Castle, VA 24127",,,,
Dublin Electrical,(540) 674-1037,http://dublinelectricalinc.com,"in Business,Accredited,Business,(540) 674-1037,5635 Dunlap Rd,Dublin, VA 24084","Dublin, VA 24084",,,,
Dublin Electrical Contractors,(540) 674-1037,,"(540) 674-1037,711 Broad St,Dublin, VA 24084","Dublin, VA 24084",,,,
,,http://www.blacksburgplumbing.com/,(540) 418-3345,,,,,
,,https://southern-air.com/,(434) 329-7157,,,,,
,,/listings/1002180178586/directions,(540) 299-7294,,,,,
,,http://www.bellelectric.com/,(540) 934-0001,,,,,
